Address,Age,Bathroom,Bedroom,Distance_coast,Landsize,Latitude,Longitude,Price,Rooms
0,41.0,0.0,129.0,9263.04077285038,0.0,37.88,-122.23,452600.0,880.0
0,21.0,0.0,1106.0,10225.7330715424,0.0,37.86,-122.22,358500.0,7099.0
0,52.0,0.0,190.0,8259.08510932293,0.0,37.85,-122.24,352100.0,1467.0
0,52.0,0.0,235.0,7768.0865708364,0.0,37.85,-122.25,341300.0,1274.0
0,52.0,0.0,280.0,7768.0865708364,0.0,37.85,-122.25,342200.0,1627.0
0,52.0,0.0,213.0,7768.0865708364,0.0,37.85,-122.25,269700.0,919.0
0,52.0,0.0,489.0,6843.02084737498,0.0,37.84,-122.25,299200.0,2535.0
0,52.0,0.0,687.0,6843.02084737498,0.0,37.84,-122.25,241400.0,3104.0
0,42.0,0.0,665.0,6363.94801261769,0.0,37.84,-122.26,226700.0,2555.0
0,52.0,0.0,707.0,6843.02084737498,0.0,37.84,-122.25,261100.0,3549.0
0,52.0,0.0,434.0,7349.62084160981,0.0,37.85,-122.26,281500.0,2202.0
0,52.0,0.0,752.0,7349.62084160981,0.0,37.85,-122.26,241800.0,3503.0
0,52.0,0.0,474.0,7349.62084160981,0.0,37.85,-122.26,213500.0,2491.0
0,52.0,0.0,191.0,6363.94801261769,0.0,37.84,-122.26,191300.0,696.0
0,52.0,0.0,626.0,7349.62084160981,0.0,37.85,-122.26,159200.0,2643.0
0,50.0,0.0,283.0,7349.62084160981,0.0,37.85,-122.26,140000.0,1120.0
0,52.0,0.0,347.0,7016.67724394864,0.0,37.85,-122.27,152500.0,1966.0
0,52.0,0.0,293.0,7016.67724394864,0.0,37.85,-122.27,155500.0,1228.0
0,50.0,0.0,455.0,6363.94801261769,0.0,37.84,-122.26,158700.0,2239.0
0,52.0,0.0,298.0,5976.28805827603,0.0,37.84,-122.27,162900.0,1503.0
0,40.0,0.0,184.0,7016.67724394864,0.0,37.85,-122.27,147500.0,751.0
0,42.0,0.0,367.0,7016.67724394864,0.0,37.85,-122.27,159800.0,1639.0
0,52.0,0.0,541.0,5976.28805827603,0.0,37.84,-122.27,113900.0,2436.0
0,52.0,0.0,337.0,5976.28805827603,0.0,37.84,-122.27,99700.0,1688.0
0,52.0,0.0,437.0,5976.28805827603,0.0,37.84,-122.27,132600.0,2224.0
0,41.0,0.0,123.0,6781.86317450868,0.0,37.85,-122.28,107500.0,535.0
0,49.0,0.0,244.0,6781.86317450868,0.0,37.85,-122.28,93800.0,1130.0
0,52.0,0.0,421.0,6781.86317450868,0.0,37.85,-122.28,105500.0,1898.0
0,50.0,0.0,492.0,5698.72690317439,0.0,37.84,-122.28,108900.0,2082.0
0,52.0,0.0,160.0,5698.72690317439,0.0,37.84,-122.28,132000.0,729.0
0,49.0,0.0,447.0,5698.72690317439,0.0,37.84,-122.28,122300.0,1916.0
0,52.0,0.0,481.0,5698.72690317439,0.0,37.84,-122.28,115200.0,2153.0
0,48.0,0.0,409.0,5976.28805827603,0.0,37.84,-122.27,110400.0,1922.0
0,49.0,0.0,366.0,4967.00519443677,0.0,37.83,-122.27,104900.0,1655.0
0,51.0,0.0,574.0,4967.00519443677,0.0,37.83,-122.27,109700.0,2665.0
0,49.0,0.0,282.0,4967.00519443677,0.0,37.83,-122.27,97200.0,1215.0
0,48.0,0.0,432.0,4967.00519443677,0.0,37.83,-122.27,104500.0,1798.0
0,52.0,0.0,390.0,4629.27324947942,0.0,37.83,-122.28,103900.0,1511.0
0,52.0,0.0,330.0,5427.30174564534,0.0,37.83,-122.26,191400.0,1470.0
0,52.0,0.0,715.0,5427.30174564534,0.0,37.83,-122.26,176000.0,2432.0
0,52.0,0.0,419.0,5427.30174564534,0.0,37.83,-122.26,155400.0,1665.0
